,price,Seller Name,Seller Rate,Seller Order Count,Buy Payment Type,Buy Min Limit,Buy Max Limit
0,90.45,Crypto Lord,100,94,75,34300.0,3500000.0
1,90.47,NikolayGG,85,6,75,20000.0,300000.0
2,90.48,Kharacho,100,1466,75,20000.0,3500000.0
3,90.48,AIRchange,99,2791,75,20000.0,1000000.0
4,90.48,bfLAL,95,68,75,5000.0,3500000.0
5,90.49,Alex_online,100,1835,75,12000.0,3500000.0
6,90.49,P2P_TemCash,100,863,75,5000.0,3500000.0
7,90.49,Black Rock,96,882,75,10000.0,3500000.0
8,90.5,PROFITABLE,100,81,75,10000.0,3500000.0
9,90.53,kobz,100,2935,75,10000.0,3500000.0
10,90.55,ImmortalP2P,100,1767,75,10000.0,3500000.0
11,90.56,AmbassadorUSDT,100,37,75,5000.0,1000000.0
12,90.56,timm_as,99,772,75,10000.0,3500000.0
13,90.57,ancientone,100,1916,75,5000.0,3500000.0
14,90.57,Crypto_P2P,97,115,75,10000.0,3500000.0
15,90.58,PREMIER 🏦,100,442,75,20000.0,450000.0
16,90.6,maxz11,100,239,64,30000.0,300000.0
17,90.64,LEGENDARY,99,2101,75,10000.0,3500000.0
18,90.64,Beheaded,99,4866,75,5000.0,3500000.0
19,90.64,Stern01,100,32,64,46132.0,46135.0
20,90.64,AltCoinsHub.com,98,183,64,10000.0,3500000.0
21,90.64,stefangreek,94,142,64,10000.0,3500000.0
22,90.65,ByLo4ka_P_ 2_P,99,1492,75,10000.0,3500000.0
23,90.65,Koviu,99,176,75,20000.0,3500000.0
24,90.65,vetal6967,98,351,64,500.0,3500000.0
25,90.65,BeerMood,97,305,75,10000.0,3500000.0
26,90.65,-Zig_Zag-,97,33,64,5000.0,3500000.0
27,90.65,hadigod,94,954,185,10000.0,3500000.0
28,90.66,Nikson17,99,420,75,500.0,3500000.0
29,90.67,Dysangelium,98,1241,75,1000.0,100000.0
30,90.68,kicksonelove,99,507,64,800.0,140000.0
31,90.68,BIT-STATION_AL,97,690,64,3000.0,3500000.0
32,90.68,MR_CRYPTO777,85,6,75,50000.0,3500000.0
33,90.69,_PROFESSOR_,99,3530,75,30000.0,1000000.0
34,90.7,kobz_team,99,1631,64,10000.0,300000.0
35,90.7,mikecm,100,14,64,100000.0,250000.0
36,90.7,Grustimne,98,64,75,5000.0,3500000.0
37,90.7,Goldman.Sachs,95,745,75,500.0,250000.0
38,90.73,Vse_Bistro,98,158,185,10000.0,3500000.0
39,90.73,Super change,96,123,64,1000.0,100000.0
40,90.74,KORMCHIJ,95,726,185,10000.0,3500000.0
41,90.75,obmen24.24,99,6413,75,20000.0,3500000.0
42,90.77,Hceshirskiy,100,48,75,1000.0,20000.0
43,90.77,sangi_kalun,97,127,185,5000.0,3500000.0
44,90.77,Likvidator_sv,89,66,64,1000.0,3500000.0
45,90.78,_ANARCHIST_,100,87,75,1000.0,3500000.0
46,90.78,voisik535,98,138,64,500.0,3500000.0
47,90.8,silent03,98,491,185,500.0,3500000.0
48,90.8,Welle_crypto,97,696,75,5000.0,3500000.0
49,90.8,w00f,95,455,75,25000.0,3500000.0
50,90.84,KuznaVad,94,74,75,1500.0,3500000.0
51,90.85,bazillion,97,78,75,500.0,2000.0
52,90.89,Hasanjon,98,89,75,500.0,5000.0
53,90.9,Sberbank,98,259,64,5000.0,200000.0
54,90.9,xxventury,100,316,75,10000.0,3500000.0
55,90.9,Natp2p,93,343,185,500.0,3000.0
56,90.91,Gera_KL,97,180,64,10000.0,750000.0
57,90.93,AbuBanDit,93,29,185,5000.0,3500000.0
58,90.95,ATAYEV,99,1767,185,5000.0,3500000.0
59,90.99,Akhliddin_0001,93,252,185,5000.0,300000.0
60,91,Pro100Bit,100,1032,185,3000.0,250000.0
61,91,RUB---USDT,100,51,64,3000.0,185000.0
62,91,550,99,636,75,500.0,3500000.0
63,91,Sharipov_03,99,370,185,5000.0,3500000.0
64,91,SAPFIR💎,99,637,64,500.0,3500000.0
65,91,Dober1812,97,246,64,10000.0,162490.0
66,91,Ilonch,96,53,64,1000.0,20000.0
67,91,Balagan,95,198,75,500.0,500000.0
68,91,azat0809,93,96,185,1000.0,10000.0
69,91,andrey17@,80,474,64,3000.0,600000.0
70,91,KANITSCHEV,71,5,64,1000.0,10000.0
71,91.04,ATAYEV,99,1767,64,5000.0,3500000.0
72,91.05,Ilonch,96,53,75,1000.0,20000.0
73,91.09,Evgen!,98,799,64,10000.0,100000.0
74,91.1,DeniskaCoin,100,65,75,50000.0,500000.0
75,91.1,vitek,88,8,64,3180.0,30000.0
76,91.13,umedjon,93,570,64,500.0,3500000.0
77,91.15,Pro100Bit,100,1032,64,2000.0,250000.0
78,91.15,Konstant1n,99,587,1,10000.0,2500000.0
79,91.18,ObmenCrypto59,100,113,64,20000.0,3500000.0
80,91.19,GLINOMESO,100,177,64,20000.0,3500000.0
81,91.2,SkyBank,99,218,64,10000.0,3500000.0
82,91.2,Klopp,98,364,75,10000.0,3500000.0
83,91.2,IlyaBELOFF,97,287,75,500.0,100000.0
84,91.2,Bonu,93,408,185,5000.0,200000.0
85,91.25,DEMETRA,99,840,185,500.0,470000.0
86,91.25,DEMETRA,99,840,64,7000.0,470000.0
87,91.25,sitizen,96,237,64,5000.0,606953.35
88,91.3,Korchagin,99,165,64,10000.0,3500000.0
89,91.35,Xenia,98,235,185,1000.0,150000.0
90,91.35,Xenia,98,235,64,1000.0,120000.0
91,91.35,FRANKLIN,97,176,64,5000.0,30000.0
92,91.5,BitcoinBullrun,95,154,64,1000.0,3500000.0
93,91.59,MrAngel,100,536,75,500.0,90000.0
94,91.6,ABDULA AXVAX,95,47,185,2000.0,10000.0
95,91.6,krugzhizni,84,56,185,2000.0,50000.0
96,91.7,AnnymoreBit,100,18,75,10000.0,3500000.0
97,91.7,Elena16,98,1150,64,500.0,3500000.0
98,91.75,HitIlar,100,36,64,8000.0,47000.0
99,91.95,3akh,98,131,185,50000.0,100000.0
100,91.95,Dr.Moneygun,97,132,64,15000.0,3500000.0
101,91.98,V0l0ha,97,106,64,20000.0,3000000.0
102,91.99,RoxelproRU,97,293,75,5000.0,3500000.0
103,92,nashho_1,99,255,75,10000.0,3500000.0
104,92,SAFUcash,100,10,185,50000.0,3500000.0
105,92,Maksim1703,100,38,185,30000.0,100000.0
106,92,dil---,98,324,64,10000.0,3500000.0
107,92,Hometraiding,89,26,64,30000.0,3500000.0
108,92.15,Confetka,88,121,64,500.0,300000.0
109,92.18,inveerse,99,228,64,30000.0,1000000.0
110,92.19,Bublick,100,25,64,57000.0,490000.0
111,92.2,ganah,100,123,64,25000.0,1000000.0
112,92.2,sadamm444,100,128,75,500.0,5000.0
113,92.3,Rosta,100,37,64,5000.0,3500000.0
114,92.3,Co_coin,100,211,64,5000.0,700000.0
115,92.45,Samforbusiness,99,209,75,100000.0,150000.0
116,92.49,Undertrade,95,158,64,50000.0,3500000.0
117,92.5,CryptoBazz,100,244,75,500.0,20000.0
118,92.5,Korchagin,99,165,102,10000.0,3500000.0
119,92.5,Radik-e7,98,51,1,500.0,9990.0
120,92.5,Volk SberBank,96,240,64,50000.0,3500000.0
121,92.5,Undertrade,95,158,75,50000.0,3500000.0
122,92.6,Sokol_Trade,100,119,64,1000.0,3500000.0
123,92.6,CRYPTONIK⚜️,97,94,64,500.0,3500000.0
124,92.6,Natisa.,84,22,185,5000.0,3500000.0
125,92.63,Ahilles,94,624,64,500.0,3000000.0
126,92.66,Trade Pro,94,34,75,1000.0,30000.0
127,92.7,Komarowvw777,98,158,75,30000.0,3500000.0
128,92.7,Money8.8.8,90,19,64,50000.0,3500000.0
129,92.92,beehim,94,35,64,500.0,200000.0
130,92.93,litr,98,417,64,10000.0,3500000.0
131,92.95,Vitaminov,100,51,185,5000.0,100000.0
132,92.99,emil1902,100,8,64,10000.0,3500000.0
133,93,easy666,97,40,64,100000.0,2500000.0
134,93.33,K A A,98,214,75,500.0,20000.0
135,93.9,ismoiljon,95,89,274,500.0,9000.0
136,94,AGD,100,86,64,30000.0,500000.0
137,94,ainur029,100,145,64,30000.0,500000.0
138,94.6,Alex_Top,97,43,64,2000.0,25000.0
139,94.89,Wins!,98,110,64,5000.0,3500000.0
140,94.94,RoxelproRU,97,293,64,10000.0,3500000.0
141,95.48,muradik,98,58,274,20000.0,102850.0
142,95.5,Part1zan32,84,11,274,500.0,350000.0
143,95.77,vse svoi,98,781,64,10000.0,2000000.0
144,95.95,Viktoria 25,93,30,64,700.0,20000.0
145,96,Ar3emiii,78,18,88,5000.0,25000.0
146,96.69,Viktoria 25,93,30,71,700.0,15000.0
147,96.97,RedSnout,98,309,64,500.0,36666.66
148,97,Saad23,98,185,75,20000.0,3500000.0
149,97.9,V0l0ha,97,106,48,10000.0,3500000.0
150,98.69,Polkk,98,304,185,1000.0,100000.0
151,98.79,an.noor104,100,545,64,3000.0,100000.0
152,98.88,Dr.Moneygun,97,132,64,5000.0,3500000.0
153,99,Alena86,99,235,75,500.0,350000.0
154,99.6,Alex_Top,97,43,1,2000.0,25000.0
155,99.74,Trust-Exchange,88,22,1,20000.0,3500000.0
156,99.99,jump3819,96,352,64,1000.0,50000.0
157,100,ilkin,100,6,75,500.0,3500000.0
158,100,Mictros,86,65,274,500.0,25000.0
159,102.22,Сила в правде,100,45,185,500.0,333333.0
160,109,ancientone,100,1916,75,50000.0,150000.0
161,109,AbayounG,99,1160,75,10000.0,3500000.0
162,110,xxventury,100,316,64,15000.0,3500000.0
163,120,Prince@,88,8,185,500.0,3500000.0
164,160.38,DimaS999,88,23,75,500.0,3500000.0
165,200,Prince@,88,8,185,500.0,3500000.0
166,260.58,ATAYEV,99,1767,27,2000.0,3500000.0
