,price,Buyer Name,Buyer Rate,Seller Order Count,SEll Payment Type,Sell Min Limit,Sell Max Limit
0,92,milzntf,100,11,64,3400000.0,3500000.0
1,91.09,Omaha777,93,15,185,70000.0,1000000.0
2,90.65,Goodfr,83,5,75,2000.0,50000.0
3,90.46,-Zig_Zag-,97,33,64,10000.0,3500000.0
4,90.4,made_in_crypto,99,656,75,10000.0,3500000.0
5,90.4,Den54pak,94,87,75,2000.0,3500000.0
6,90.38,Waterfall17,100,290,75,5000.0,3500000.0
7,90.38,buysell789,99,866,75,5000.0,100000.0
8,90.33,obmen24.24,99,6413,75,5000.0,3500000.0
9,90.28,KuznaVad,94,74,75,1500.0,3500000.0
10,90.27,andrey17@,80,474,75,3000.0,60000.0
11,90.22,Beheaded,99,4866,75,5000.0,3500000.0
12,90.22,ByLo4ka_P_ 2_P,99,1492,75,10000.0,2000000.0
13,90.22,melayn,96,2157,75,1500.0,3500000.0
14,90.2,xxventury,100,316,75,10000.0,3500000.0
15,90.2,hazalla,98,1281,185,5000.0,3500000.0
16,90.2,DalasBit,81,22,75,18151.0,18160.0
17,90.18,NatalyaNatalya,99,3174,75,5000.0,3500000.0
18,90.18,UfaCryptoP2P,100,220,64,20000.0,800000.0
19,90.18,AltCoinsHub.com,98,183,64,30000.0,3500000.0
20,90.17,bebop,95,271,64,10000.0,3500000.0
21,90.17,WorldBusiness,90,385,64,50000.0,125000.0
22,90.15,MrIzya,98,160,64,5000.0,3500000.0
23,90.15,Volvos,89,44,64,5000.0,46246.0
24,90.13,Black Rock,96,881,75,20000.0,3500000.0
25,90.12,Zariazhen,93,406,75,5000.0,500000.0
26,90.1,legion013,100,6,64,15000.0,104783.0
27,90.01,kobz,100,2935,75,9000.0,3500000.0
28,90.01,kicksonelove,99,507,64,800.0,125000.0
29,90.01,andrey17@,80,474,64,3000.0,600000.0
30,90.01,AYS_CRYPTO,78,64,64,20000.0,200000.0
31,90,PROFITABLE,100,79,75,10000.0,3500000.0
32,90,AmbassadorUSDT,100,37,75,10000.0,1000000.0
33,90,K-2_Trade,93,72,75,50000.0,3500000.0
34,90,Akita,75,72,64,10000.0,50000.0
35,89.95,Samforbusiness,99,209,64,25000.0,150000.0
36,89.93,dianaAR958,99,149,185,2000.0,21946.0
37,89.92,AWEX,95,117,185,30000.0,3500000.0
38,89.92,Bonu,93,408,185,2000.0,2000000.0
39,89.9,Nikson17,99,420,75,500.0,3500000.0
40,89.9,NAMI,96,56,75,5000.0,599000.0
41,89.88,Makk01,98,144,185,500.0,25000.0
42,89.88,Hasanjon,98,89,75,500.0,5000.0
43,89.86,polynaa,83,66,64,3000.0,100000.0
44,89.85,Liliya87,97,337,64,4000.0,3500000.0
45,89.83,SAPFIR💎,99,637,64,3000.0,3500000.0
46,89.8,Mcorn,99,1118,64,5000.0,490000.0
47,89.76,Vanyafrost,100,166,75,500.0,30000.0
48,89.75,Elena16,98,1149,64,500.0,3500000.0
49,89.71,Balagan,95,198,75,500.0,3500000.0
50,89.71,Likvidator_sv,89,66,64,500.0,3500000.0
51,89.67,Jamik1223,94,468,75,10000.0,76000.0
52,89.59,Ратмир₽,93,187,64,1000.0,25000.0
53,89.51,Alina. ter07,92,808,64,150000.0,400000.0
54,89.5,Albina79,98,380,185,500.0,20000.0
55,89.5,bankpartner,95,415,64,25000.0,3500000.0
56,89.2,serjneg,97,371,75,500.0,300000.0
57,89.1,sadamm444,100,128,185,500.0,10000.0
58,88.81,Nuralizoda,98,325,185,500.0,1000000.0
59,88.47,krugzhizni,84,56,185,2000.0,40000.0
60,88.29,BTC_AUTO,96,28,18,10000.0,700000.0
61,88.21,sparalaxis,95,22,274,500.0,3500000.0
62,88.2,jump3819,96,352,64,5000.0,30000.0
63,88.2,jump3819,96,352,59,5000.0,30000.0
64,88.2,HappyCryptoMan,93,62,75,20000.0,595000.0
65,88.1,BobMarley,86,40,185,500.0,50000.0
66,88,isakaevm,100,1098,75,30000.0,3500000.0
67,88,@top_serviceBTC,100,3,64,50000.0,2000000.0
68,88,@top_serviceBTC,100,3,185,50000.0,3000000.0
69,88,550,99,636,75,500.0,3500000.0
70,87.88,smoli,86,69,64,500.0,2000000.0
71,87.87,Part1zan32,84,11,64,500.0,40000.0
72,87.8,Xenia,98,235,64,1000.0,50000.0
73,87.76,KentzMadMan,69,9,185,2000.0,120000.0
74,87.76,129czj,61,19,64,500.0,70000.0
75,87.62,VamNeDam,85,6,64,5000.0,50000.0
76,87.31,Seamanhpy,100,3,185,10000.0,65000.0
77,87.31,Radik-e7,98,51,64,500.0,86200.0
78,87.25,ПИТУПИ24,96,109,75,5000.0,3500000.0
79,87.23,Dr.Moneygun,97,132,64,15000.0,450000.0
80,87.1,CRYPTONEC_FAST,97,90,64,4000.0,95000.0
81,86.87,BEST~CHANGE,100,5,185,70000.0,3000000.0
82,86.8,PREMIER 🏦,100,442,75,40000.0,350000.0
83,86.69,BEST~CHANGE,100,5,64,70000.0,3500000.0
84,86.47,vovatere1982,97,71,274,500.0,19000.0
85,86.42,PRIORITY,90,9,75,500.0,300000.0
86,86.42,stalnoy831,0,0,64,5000.0,3000000.0
87,86.4,Confetka,88,121,64,500.0,15000.0
88,86.35,RoxelproRU,97,293,64,10000.0,3500000.0
89,86.2,Davdalm,79,19,75,500.0,13600.0
90,86.02,FRANKLIN,97,176,64,5000.0,20000.0
91,86,Bedouin,97,65,75,1000.0,2000000.0
92,86,Awan_traders,89,207,185,5000.0,3500000.0
93,86,FneY01,96,63,64,5000.0,3500000.0
94,86,SAMURAI,75,3,64,20000.0,150000.0
95,85.85,Ahilles,94,624,64,5000.0,3500000.0
96,85.55,Ahilles,94,624,274,5000.0,500000.0
97,85.53,Trust-Exchange,88,22,64,20000.0,815000.0
98,85.44,Djrf,100,132,185,1000.0,3500000.0
99,85.4,Punisher08,100,252,75,100000.0,3500000.0
